z_m,ux_rms_m_s,uy_rms_m_s,uz_rms_m_s,centerline_duz_m_s
2.119791666666667,0.005017695,0.004955795,0.02087367,-0.16357642
2.130208333333334,0.004704275,0.004663752,0.020673348,-0.16224791
2.1406250000000004,0.0044179605,0.004395481,0.02050212,-0.16104549
2.151041666666667,0.0041574705,0.004150391,0.020356681,-0.15995196
2.161458333333334,0.003921579,0.0039282553,0.020234412,-0.15894973
2.1718750000000004,0.0037091414,0.003727725,0.020132475,-0.15801969
2.182291666666667,0.0035189232,0.0035481579,0.0200484,-0.15714608
2.192708333333334,0.0033498907,0.0033896773,0.019980062,-0.15631448
2.2031250000000004,0.0032007094,0.0032513188,0.019925274,-0.15551168
2.213541666666667,0.0030702401,0.0031317316,0.019882143,-0.15472592
2.223958333333334,0.0029572737,0.0030306848,0.019848777,-0.15394698
2.2343750000000004,0.0028604073,0.002947314,0.019823715,-0.15316626
2.244791666666667,0.002778417,0.0028802343,0.019805167,-0.1523763
2.255208333333334,0.0027099885,0.0028278278,0.019791912,-0.15157098
2.2656250000000004,0.002653832,0.0027892683,0.019782616,-0.15074569
2.276041666666667,0.0026087677,0.0027631642,0.01977611,-0.14989659
2.286458333333334,0.0025736035,0.0027480992,0.019771378,-0.14902085
2.2968750000000004,0.002547351,0.0027426158,0.019767469,-0.14811668
2.307291666666667,0.0025290218,0.0027455254,0.019763747,-0.14718299
2.317708333333334,0.0025176783,0.0027557716,0.019759519,-0.14621915
2.3281250000000004,0.002512639,0.002772324,0.019754205,-0.14522508
2.338541666666667,0.0025131046,0.0027942695,0.019747354,-0.14420126
2.348958333333334,0.0025185107,0.0028207533,0.019738749,-0.14314884
2.3593750000000004,0.0025282558,0.0028510685,0.019728158,-0.14206891
2.369791666666667,0.0025418762,0.0028846343,0.019715326,-0.14096297
2.380208333333334,0.0025589427,0.0029209196,0.019700289,-0.13983256
2.3906250000000004,0.0025790357,0.0029595294,0.019682974,-0.13867947
2.401041666666667,0.002601783,0.0030001155,0.019663531,-0.13750568
2.411458333333334,0.0026268063,0.003042355,0.019641917,-0.1363132
2.4218750000000004,0.0026538162,0.0030859956,0.019618314,-0.13510424
2.432291666666667,0.0026825487,0.0031308022,0.019592838,-0.13388102
2.442708333333334,0.002712684,0.0031765983,0.019565698,-0.13264598
2.4531250000000004,0.0027440267,0.003223233,0.019536996,-0.13140148
2.463541666666667,0.0027763192,0.0032705222,0.019506978,-0.13015
2.473958333333334,0.002809353,0.0033183494,0.0194758,-0.12889391
2.4843750000000004,0.0028429436,0.0033666117,0.019443557,-0.12763551
2.494791666666667,0.002876895,0.003415208,0.01941048,-0.12637714
2.505208333333334,0.0029110357,0.0034640478,0.019376688,-0.12512085
2.5156250000000004,0.002945203,0.0035130072,0.019342316,-0.12386874
2.526041666666667,0.0029792287,0.003561965,0.019307513,-0.12262276
2.536458333333334,0.0030129699,0.0036108051,0.019272363,-0.12138469
2.5468750000000004,0.003046239,0.003659466,0.019236991,-0.12015632
2.557291666666667,0.0030788751,0.0037078413,0.01920137,-0.11893915
2.567708333333334,0.0031107478,0.0037558288,0.019165592,-0.117734686
2.5781250000000004,0.0031417215,0.0038032518,0.019129686,-0.11654438
2.588541666666667,0.0031716314,0.003850039,0.01909362,-0.115369506
2.598958333333334,0.0032003804,0.0038960888,0.01905736,-0.114211254
2.6093750000000004,0.003227842,0.003941245,0.019020818,-0.11307076
2.619791666666667,0.0032538634,0.0039853314,0.018984046,-0.11194886
2.630208333333334,0.0032783076,0.004028264,0.018946849,-0.11084656
2.6406250000000004,0.0033011616,0.0040698773,0.0189092,-0.10976439
2.651041666666667,0.0033223222,0.004110017,0.01887092,-0.10870305
2.661458333333334,0.0033416552,0.004148512,0.018831873,-0.10766289
2.6718750000000004,0.0033590724,0.004185214,0.018791966,-0.10664432
2.682291666666667,0.0033746026,0.004219921,0.018751005,-0.105647475
2.692708333333334,0.0033881997,0.0042525125,0.018708773,-0.1046726
2.7031250000000004,0.0033998024,0.004282783,0.01866521,-0.10371978
2.713541666666667,0.0034094276,0.0043105762,0.018620152,-0.10278898
2.723958333333334,0.0034170982,0.004335747,0.018573375,-0.101880245
2.7343750000000004,0.0034227585,0.0043580676,0.018524759,-0.10099353
2.744791666666667,0.0034264217,0.0043774173,0.01847414,-0.10012869
2.755208333333334,0.0034282159,0.0043936474,0.01842147,-0.09928534
2.7656250000000004,0.0034282482,0.0044067395,0.018366555,-0.09846331
2.776041666666667,0.0034265942,0.0044165947,0.018309327,-0.097662754
2.786458333333334,0.0034233162,0.004423062,0.018249677,-0.09688323
2.7968750000000004,0.0034184947,0.0044260444,0.018187707,-0.096124664
2.807291666666667,0.003412204,0.0044255923,0.01812324,-0.09538743
2.817708333333334,0.0034045312,0.0044217277,0.018056307,-0.094671525
2.8281250000000004,0.0033955686,0.004414358,0.017986953,-0.09397688
